itinerario,endereco,referencia,horario,turno
Monte Serrat,R. Geraldo Ferraz - Monte Serrat - Itupeva,Caixa D'água,6:05,ADM
Monte Serrat,R. Vicente Tonoli - Monte Serrat - Itupeva,Recanto Nordestino,6:09,ADM
Monte Serrat,Praça São Paulo - Vila Paraizo - Itupeva,Rodoviária de Itupeva,6:17,ADM
Monte Serrat,Av. Emílio Chechinato - Jardim Samambaia - Itupeva,Parque da Cidade,6:18,ADM
Monte Serrat,Av. Emílio Chechinato - Jardim Samambaia - Itupeva,Bosal do Brasil,6:23,ADM
Monte Serrat,Av. Emílio Chechinato - Jardim Samambaia - Itupeva,Samotur Transportes,6:27,ADM
Monte Serrat,Av. Emílio Chechinato - São Roque da Chave - Itupeva,Posto Riviera,6:29,ADM
Monte Serrat,Av. José Benassi - Parque Res. Jundiaí - Jundiaí,Até Pilot Pen do Brasil e Retorna,6:33,ADM
Monte Serrat,Av. José Benassi - Parque Res. Jundiaí - Jundiaí,Condominio Morada dos Passaros,6:33,ADM
Monte Serrat,Av. Gino Lenin Ferrazzo - Parque Res. Jundiaí - Jundiaí,Academia de Dança Leica passo a passo,6:36,ADM
Monte Serrat,Rua Presbitero Osvaldo Carnier - Parque Res. Jundiaí - Jundiaí,Lopes Materiais de Construção,6:37,ADM
Monte Serrat,Av. Presbítero Manoel Antônio Dias Filho - Parque Res. Jundiaí - Jundiaí,Supermercado Mesquita,6:39,ADM
Monte Serrat,Av. Presbítero Manoel Antônio Dias Filho - Parque Res. Jundiaí - Jundiaí,Adega Altas Horas - Loja 2,6:41,ADM
Monte Serrat,Av. Presbítero Manoel Antônio Dias Filho - Parque Res. Jundiaí - Jundiaí,Casa de carnes fênix,6:42,ADM
Monte Serrat,Av. Presbítero Manoel Antônio Dias Filho - Parque Res. Jundiaí - Jundiaí,Hotel Maria Luiza,6:43,ADM
Monte Serrat,Rua Antônio Martinho - Parque Res. Jundiaí - Jundiaí,Auto Elétrica Michael,6:44,ADM
Monte Serrat,Av. Professor Raymundo Faggiano - Parque Res. Jundiaí - Jundiaí,Emporio da Lagoa,6:45,ADM
Monte Serrat,Av. Cesar Brunholli - Jd. Tulipas - Jundiaí,Mercado Luigi Bertelli,6:59,ADM
Monte Serrat,Rua Pedro Jansonis - Jd. Tulipas - Jundiaí,Empório São Miguel,7:01,ADM
Monte Serrat,Av. Adelino Martins - Jd. Tulipas - Jundiaí,Drogaria Japi,7:04,ADM
Monte Serrat,Av. Adelino Martins - Jd. Tulipas - Jundiaí,Mercado Xavier,7:08,ADM
Monte Serrat,Av. Adelino Martins - Jd. Tulipas - Jundiaí,Até Lagoa e Retorna,7:08,ADM
Monte Serrat,Av. Adelino Martins - Jd. Tulipas - Jundiaí,Emporio Xavier,7:10,ADM
Monte Serrat,Av. Adelino Martins - Jd. Tulipas - Jundiaí,Consigaz,7:14,ADM
Caieiras,Av. Renata Bianchi - Vila Rosina - Caieiras,AMBEV - CDD Norte,5:40,ADM
Caieiras,Rod. Pres. Tancredo de Almeida Neves - Serpa - Caieiras,McDonald's,5:47,ADM
Caieiras,Av. dos Expedicionarios - Centro - Franco da Rocha,Shopping Franco da Rocha,5:55,ADM
Caieiras,R. Basílio Fazzi - Centro - Franco da Rocha ,McDonald's,5:56,ADM
Caieiras,R. Benedito Fagundes Marques - Centro - Franco da Rocha ,Posto Zebrinha,5:59,ADM
Caieiras,R. Paoli - Vila Irma - Franco da Rocha ,Friomaq,6:00,ADM
Caieiras,R. Tiradentes - Vila Bazu - Franco da Rocha ,Padaria - Bazu Paes e Doces,6:01,ADM
Franco da Rocha,Av. São Paulo - Parque Paulista - Franco da Rocha ,Igreja universal,6:10,ADM
Franco da Rocha,Av. São Paulo - Parque Paulista - Francisco Morato,Ponto do Deposito Oliveira,6:12,ADM
Franco da Rocha,Av. São Paulo - Parque Paulista - Francisco Morato,Morato Motos,6:14,ADM
Franco da Rocha,R. Gerônimo Caetano Garcia - Centro - Francisco Morato,Ponto das lojas Cem,6:18,ADM
Franco da Rocha,R. João Mendes Júnior - Jardim Prof. Francisco Morato - Francisco Morato,Esplanada Móveis,6:20,ADM
Franco da Rocha,Rod. Manoel Silverio Pinto - Belem Estacao - Francisco Morato,Hospital Estadual de Francisco Morato - Lacaz,6:23,ADM
Franco da Rocha,Rod. Manoel Silverio Pinto - Jardim Sinobe - Francisco Morato,Prefeitura Municipal de Francisco Morato,6:25,ADM
Franco da Rocha,Rod. Manoel Silverio Pinto - Jardim dos Bandeirantes - Franco da Rocha ,Federzoni Casa & Construção - Bandeirantes,6:29,ADM
Jardim da Lagoa,Av. Brasil - Jd. Da Lagoa / Jd. Primavera - Itupeva,Hospital Mun. Nsa. Aparecida,6:10,ADM
Jardim da Lagoa,Av. Brasil - Jd. Da Lagoa / Jd. Primavera - Itupeva,Igreja Santo Antonio,6:13,ADM
Jardim da Lagoa,Rod. Vice Pref. Hermenegildo Tonoli - Jardim Ana Luiza - Itupeva,Posto de Combustível - Mané,6:17,ADM
Jardim da Lagoa,Rod. Vice Pref. Hermenegildo Tonoli - Jardim Ana Luiza - Itupeva,Supermercado Monte Serrat,6:18,ADM
Jardim da Lagoa,R. Francisco Cardoso da Silva - Portal da Santa Fe - Itupeva,Creche Iolanda Carlos,6:19,ADM
Jardim da Lagoa,R. José Virillo - Portal da Santa Fe - Itupeva,Mercado Big Bom,6:20,ADM
Jardim da Lagoa,Rua Claudina Zumstein Betelli - Portal da Santa Fe - Itupeva,Ponto de ônibus Urbano,6:22,ADM
Jardim da Lagoa,Rod. Vice Pref. Hermenegildo Tonoli - Santa Julia - Itupeva,Ponto em Frente a Placa Jesus Cristo Senhor de Itupeva,6:24,ADM
Jardim da Lagoa,Rod. Vice Pref. Hermenegildo Tonoli - Medeiros - Jundiaí,Motel 22 INN,6:28,ADM
Jardim da Lagoa,Av. Francisco Nobre - Medeiros - Jundiaí,Mini Shopping Sarapiranga,6:30,ADM
Jardim da Lagoa,Av. João Gonçalves dos Réis - Vila Nova Medeiros - Jundiaí,Tato Colegio,6:31,ADM
Jardim da Lagoa,Av. Reynaldo de Porcari - Medeiros - Jundiaí,Supermercado Central Medeiros,6:36,ADM
Jardim da Lagoa,Av. José Benassi - Parque Res. Jundiaí - Jundiaí,Esq. Com Av. Angelo Pelliciari,6:40,ADM
Jardim da Lagoa,Av Angelo Pellicciari - Parque Res. Jundiaí - Jundiaí,Esquina Com Rua Eloisa Lotierso,6:41,ADM
Jardim da Lagoa,Av Angelo Pellicciari - Parque Res. Jundiaí - Jundiaí,Esquina Com R. João Aparecido F. dos Santos,6:42,ADM
Jardim da Lagoa,Av. Francisco Roveri - Pq. Res. Almerinda Chaves - Jundiaí,EMEB Ivo de Bona,6:44,ADM
Jardim da Lagoa,Rua Mariano Latorre - Pq. Res. Almerinda Chaves - Jundiaí,Radar Lava Car ,6:45,ADM
Jardim da Lagoa,Av. Me Tereza de Calcutá - Pq. Res. Almerinda Chaves - Jundiaí,Ponto de ônibus Urbano,6:45,ADM
Jardim da Lagoa,Rua Roque Marcelino - Pq. Res. Almerinda Chaves - Jundiaí,Mercado Aliança,6:46,ADM
Jardim da Lagoa,Av. Pastor Francisco Ciamarela - Pq. Res. Almerinda Chaves - Jundiaí,Ponto em frente a Loja Ju Calcados,6:46,ADM
Jardim da Lagoa,Estrada Municipal do Varjão - Pq. Res. Almerinda Chaves - Jundiaí,Mercado Monteiro / Campo Pantera,6:48,ADM
Jardim da Lagoa,Estrada Municipal do Varjão - Pq. Res. Almerinda Chaves - Jundiaí,Até Fazenda Grande ,6:51,ADM
Jardim da Lagoa,Av. Henrique Brunini - Fazenda Grande - Jundiaí,Brito's Burger ,6:56,ADM
Jardim da Lagoa,R. Daniel da Silva - Fazenda Grande - Jundiaí,UBS Fazenda Grande,6:58,ADM
Jardim da Lagoa,Rua Ambrozio Marquezim - Fazenda Grande - Jundiaí,Esquina com Rua João Trevizan,7:00,ADM
Jardim da Lagoa,Av. Luiz Jose Sereno - Parque Res. Eloy Chaves - Jundiaí,Terminal Eloy Chaves - Sent. Oposto,7:02,ADM
Jardim da Lagoa,Av. Benedicto Castilho de Andrade - Parque Res. Eloy Chaves - Jundiaí,Boa Supermercados,7:06,ADM
Jardim da Lagoa,Av. Benedicto Castilho de Andrade - Parque Res. Eloy Chaves - Jundiaí,Posto Shell,7:08,ADM
Jardim da Lagoa,Av. Marginal da Coca Cola - Distrito Industrial - Jundiaí,Femza,7:10,ADM
Figueira Branca,Avenida Integração - Jardim Laura - Campo Limpo Paulista,Ponto de ônibus em frente Agro Vida,5:50,ADM
Figueira Branca,Estr. Mun. Manoel Gerez Navarro - Vale Esmeralda - Jarinu,Fazenda Quinta dos Pinheiros,6:00,ADM
Figueira Branca,Estr. da Figueira Branca - Figueira Branca - Campo Limpo Paulista,Ponto de Onibus do Lago,6:07,ADM
Figueira Branca,Estr. da Figueira Branca - Figueira Branca - Campo Limpo Paulista,Estação Telefonica,6:10,ADM
Figueira Branca,Rua Presidente Juscelino Kubitschek - Res. Monte Alegre - Campo Limpo Paulista,Studio Mega Hair Liz Ferreira / SP,6:13,ADM
Figueira Branca,R. Primeiro de Dezembro - Marsola - Campo Limpo Paulista,Quadra de Areia ,6:16,ADM
Figueira Branca,Av. Marginal do Rio Jundiaí - Jd. Paulista - Várzea Paulista ,So Piso,6:21,ADM
Figueira Branca,Av. Marginal Rio Jundiaí - Ponte Seca - Várzea Paulista ,Posto Combustível,6:26,ADM
Figueira Branca,R. São José - Jardim Cruz Alta - Várzea Paulista ,Praça São José (Castro Alves),6:34,ADM
Figueira Branca,R. Arnaldo Gut Junior - Vila São José - Várzea Paulista ,Mônica Areia e Pedra,6:35,ADM
Figueira Branca,R. Tocantins - Jardim Mirante - Várzea Paulista ,Bella Pizza Delivery,6:36,ADM
Figueira Branca,R. Carioba - Jardim Mirante - Várzea Paulista ,Creche Jd. Alessandra,6:38,ADM
Figueira Branca,Av. Macaúba - Jardim Mirante - Várzea Paulista ,Supermercado Inova,6:39,ADM
Figueira Branca,R. Argenta - Jardim Itália - Várzea Paulista ,Ueba Buffet,6:42,ADM
Figueira Branca,R. Salermo - Jardim Itália - Várzea Paulista ,Espaço Andrea Roveda,6:44,ADM
Figueira Branca,R. Paschoal Gianfrancesco - Vila Tupi - Várzea Paulista ,Colégio Futura,6:45,ADM
Figueira Branca,Av. Bertioga - Vila Tupi - Várzea Paulista ,Walmec Mecanico de Automoveis,6:46,ADM
Figueira Branca,Av. Fernão Dias Paes Leme - Centro - Várzea Paulista ,Chacara Mall,6:49,ADM
Figueira Branca,Av. Fernão Dias Paes Leme - Centro - Várzea Paulista ,Lojas Cem,6:50,ADM
Figueira Branca,Av. Fernão Dias Paes Leme - Vila Santa Terezinha - Várzea Paulista ,Caedu Moda,6:51,ADM
Figueira Branca,R. Varzea Paulista - Vila Santa Terezinha - Várzea Paulista ,Igreja Catolica,6:53,ADM
Figueira Branca,R. Várzea Paulista - Agapema - Jundiaí,Academia República Fitness,6:54,ADM
Figueira Branca,R. Várzea Paulista - Agapema - Jundiaí,Supermercado Ricoy,6:55,ADM
Figueira Branca,R. Várzea Paulista - Vila Agricola - Jundiaí,Posto Shell,6:56,ADM
Figueira Branca,R. Várzea Paulista - Vila Agricola - Jundiaí,Digdu Buffet,6:58,ADM
Figueira Branca,Av. União dos Ferroviários - Centro - Jundiaí,Estação Ferroviária de Jundiaí,7:01,ADM
Figueira Branca,Av. União dos Ferroviários - Centro - Jundiaí,Próximo ao Supermercado Extra,7:03,ADM
Figueira Branca,Av. União dos Ferroviários - Centro - Jundiaí,Poupa Tempo,7:07,ADM
Figueira Branca,Av. Pref. Luis Latorre - Retiro - Jundiaí,Hidráulica Rondi,7:13,ADM
Figueira Branca,R. Aurora Germano de Lemos - Vila Guarani - Jundiaí,Prédios,7:17,ADM
Figueira Branca,R. do Retiro - Vila das Hortencias - Jundiaí,Faculdade Anhanguera,7:18,ADM
Figueira Branca,Av. Professora Maria do Carmo Guimarães Pellegrini - Retiro - Jundiaí,AutoBan,7:20,ADM
Figueira Branca,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí,Não Tem Ponto ,7:22,ADM
Louveira,R. Recife - Parque dos Estados - Louveira ,EM Refrigeração Ar Condicionado,6:25,ADM
Louveira,R. Armando Steck - Centro - Louveira ,Boteco do meu Rei,6:31,ADM
Louveira,Rod. Ver. Geraldo Dias - Vila Nova Louveira - Louveira ,Estação Ferroviária de Louveira - Sent. Inverso,6:34,ADM
Louveira,Rod. Ver. Geraldo Dias - Leitão - Louveira ,Madereira Finamore,6:37,ADM
Louveira,Rod. Ver. Geraldo Dias - Jd. Currupira - Jundiaí,Prox. Entrada do Parque Currupira,6:42,ADM
Louveira,Av. Andre Costa - Morada das Vinhas - Jundiaí ,Supermercado Morada,6:44,ADM
Louveira,R. Uva Niagara - Morada das Vinhas - Jundiaí ,Escola Antonio Adelino Marques,6:45,ADM
Louveira,R. Uva Niagara - Morada das Vinhas - Jundiaí ,Super Dog Lanches,6:46,ADM
Louveira,R. Ucilla Lorencini Tafarelo - Morada das Vinhas - Jundiaí ,Banca da Carmen,6:47,ADM
Louveira,Rod. Ver. Geraldo Dias - Hortolandia - Jundiaí ,Rotatória Terra da Uva,6:48,ADM
Louveira,R. Miguel Hilario Navarrete Sanches - Vila Marlene - Jundiaí ,Cantinho da Tia Li Pizzaria,6:51,ADM
Louveira,Rod. Ver. Geraldo Dias - Hortolandia - Jundiaí ,Terminal Hortolândia,6:54,ADM
Louveira,R. Itirapina - Hortolandia - Jundiaí ,Praça Antonio Luiz Negri,6:57,ADM
Louveira,R. Itirapina - Hortolandia - Jundiaí ,Itau,6:58,ADM
Louveira,Av. Armando Giassetti - Torres São José - Jundiaí,Posto de Molas Boiadeiro,7:00,ADM
Louveira,Av. Antonio Frederico Ozanam - Engordadouro - Jundiaí,Até a rotatoria do Life Residencial e retorna,7:04,ADM
Louveira,Av. Armando Giassetti - Meias Aço - Jundiaí,Ponto de Ônibus Urbano,7:10,ADM
Louveira,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí ,Posto Centenário,7:15,ADM
Santo Antonio,R. Angelo Bevilaqua - Santo Antonio - Louveira,Praça do Mirante de Santo Antonio,6:40,ADM
Santo Antonio,R. João Verardo - Santo Antonio - Louveira ,Casa da Familia Hotburguer,6:41,ADM
Santo Antonio,R. Santo Scarance - Res. Serra Azul - Louveira ,Praça Pedro Sanches,6:43,ADM
Santo Antonio,R. das Orquideas - Res. Serra Azul - Louveira ,Padaria Martins,6:45,ADM
Santo Antonio,R. Evaristo Cavali - Jd. Esmeralda - Louveira ,MultiDrogas,6:47,ADM
Santo Antonio,R. Luis Montelato - Jd. Esmeralda - Louveira ,Marcelo Tapeceiro,6:48,ADM
Santo Antonio,R. Antonio Bonesso - Res. Burck - Louveira ,Fareva Louveira,6:50,ADM
Santo Antonio,R. Martinho de Ludres - Res. Burck - Louveira ,Posto de Saúde Burck,6:52,ADM
Santo Antonio,Av. Comendador Antonio Carbonari - Traviu - Jundiaí,Esq. Com Av. da Uva,6:58,ADM
Santo Antonio,Av. da Uva - Bairro do Poste - Jundiaí,Mercado Água Doce,7:04,ADM
Santo Antonio,Viaduto das industrias - Distrito Industrial - Jundiaí,Spuma Pac,7:07,ADM
Santo Antonio,Av. Pedro Clarismundo Fornari - Engordadouro - Jundiaí,Campo Futebol,7:10,ADM
Santo Antonio,Av. Caetano Gornati - Engordadouro - Jundiaí,Life Residencial,7:12,ADM
Santo Antonio,Av. Frederico Ozanan - Jd. Sorocabana - Jundiaí,Cond. Portal das Palmeiras,7:14,ADM
Santo Antonio,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiaí ,Não Tem Ponto ,7:18,ADM
Caxambu,Av. Jose Mezzalira - Jardim Caxambu - Jundiaí ,Usin-Tec,6:08,ADM
Caxambu,R. Arcangelo Bianchini - Ivoturucaia - Várzea Paulista ,EE Monsenhor Venerando Nalini,6:12,ADM
Caxambu,Av. César Cosin - Ivoturucaia - Várzea Paulista ,Bica d'agua,6:14,ADM
Caxambu,R. Itupeva - Jardim America 4 - Várzea Paulista ,Lateral do Cemitério,6:17,ADM
Caxambu,Av. Walter Gossner - Jardim Paulista - Várzea Paulista ,Varejão do Povo,6:19,ADM
Caxambu,Av. Pacaembu - Jardim Paulista - Várzea Paulista ,Supermercado Mix 1,6:20,ADM
Caxambu,Av. Pacaembu - Jardim Paulista - Várzea Paulista ,Escola Estadual Armando Dias,6:22,ADM
Caxambu,Av. Tanabi - Jardim America 3 - Várzea Paulista ,Congregação Cristã no Brasil Jardim Paulista,6:26,ADM
Caxambu,Av. Pequerí - Jardim America 3 - Várzea Paulista ,Mineirinho Gás,6:27,ADM
Caxambu,R. Tupã - Jardim America 2 - Várzea Paulista ,Varanda Lanches,6:28,ADM
